state,year,age_group,population
Florida,1999,Retired,2741849
GA,1970,Kids,2564541
GA,1970,Adults,1658007
GA,1970,Retired,365382
GA,1971,Kids,2633698
GA,1971,Adults,1696730
GA,1971,Retired,381122
GA,1972,Kids,2682433
GA,1972,Adults,1733635
GA,1972,Retired,393421
GA,1973,Kids,2723198
GA,1973,Adults,1780620
GA,1973,Retired,406556
GA,1974,Kids,2758292
GA,1974,Adults,1819206
GA,1974,Retired,421922
GA,1975,Kids,2779191
GA,1975,Adults,1845989
GA,1975,Retired,438896
GA,1976,Kids,2804586
GA,1976,Adults,1874357
GA,1976,Retired,453870
GA,1977,Kids,2811142
GA,1977,Adults,1937472
GA,1977,Retired,471085
GA,1978,Kids,2820862
GA,1978,Adults,1986786
GA,1978,Retired,488105
GA,1979,Kids,2849162
GA,1979,Adults,2046635
GA,1979,Retired,505588
GA,1980,Kids,2866202
GA,1980,Adults,2099598
GA,1980,Retired,520374
GA,1981,Kids,2879426
GA,1981,Adults,2155892
GA,1981,Retired,533025
GA,1982,Kids,2892035
GA,1982,Adults,2210704
GA,1982,Retired,547054
GA,1983,Kids,2902292
GA,1983,Adults,2266111
GA,1983,Retired,559851
GA,1984,Kids,2921460
GA,1984,Adults,2339426
GA,1984,Retired,574071
GA,1985,Kids,2956935
GA,1985,Adults,2418467
GA,1985,Retired,587266
GA,1986,Kids,2987139
GA,1986,Adults,2497169
GA,1986,Retired,600352
GA,1987,Kids,3012413
GA,1987,Adults,2581328
GA,1987,Retired,614729
GA,1988,Kids,3039603
GA,1988,Adults,2649586
GA,1988,Retired,626964
GA,1989,Kids,3060781
GA,1989,Adults,2709560
GA,1989,Retired,640744
Georgia,1990,Kids,3075915
Georgia,1990,Adults,2775965
Georgia,1990,Retired,654651
Georgia,1991,Kids,3086793
Georgia,1991,Adults,2866885
Georgia,1991,Retired,667601
Georgia,1992,Kids,3115067
Georgia,1992,Adults,2962533
Georgia,1992,Retired,681874
Georgia,1993,Kids,3144954
Georgia,1993,Adults,3053062
Georgia,1993,Retired,696076
Georgia,1994,Kids,3174164
Georgia,1994,Adults,3163361
Georgia,1994,Retired,708375
Georgia,1995,Kids,3207541
Georgia,1995,Adults,3260471
Georgia,1995,Retired,720526
Georgia,1996,Kids,3248664
Georgia,1996,Adults,3351620
Georgia,1996,Retired,731941
