"fips","agegr","year","state","pop","age","popm","popf","state2"
16,"62-64F",1970,"ID",8416,,,,"ID"
16,"0-2",1970,"ID",38793,,,,"ID"
16,"60-61",1970,"ID",13130,,,,"ID"
16,"62-64M",1970,"ID",8650,,,,"ID"
16,"3-4",1970,"ID",25144,,,,"ID"
16,"65+",1970,"ID",67417,,,,"ID"
17,"0-2",1970,"IL",551677,,,,"IL"
17,"17",1970,"IL",203338,,,,"IL"
17,"20",1970,"IL",175942,,,,"IL"
17,"60-61",1970,"IL",205334,,,,"IL"
17,"22",1970,"IL",177520,,,,"IL"
17,"5-13",1970,"IL",2012991,,,,"IL"
17,"62-64M",1970,"IL",127947,,,,"IL"
17,"19",1970,"IL",186941,,,,"IL"
17,"35-44",1970,"IL",1268996,,,,"IL"
17,"30-34",1970,"IL",636407,,,,"IL"
17,"18",1970,"IL",198748,,,,"IL"
17,"25-29",1970,"IL",747497,,,,"IL"
17,"55-59",1970,"IL",568508,,,,"IL"
17,"45-54",1970,"IL",1297064,,,,"IL"
17,"62-64F",1970,"IL",144870,,,,"IL"
17,"15",1970,"IL",216154,,,,"IL"
17,"14",1970,"IL",220064,,,,"IL"
17,"24",1970,"IL",144687,,,,"IL"
17,"65+",1970,"IL",1088911,,,,"IL"
17,"16",1970,"IL",205966,,,,"IL"
17,"23",1970,"IL",180333,,,,"IL"
17,"21",1970,"IL",165292,,,,"IL"
17,"3-4",1970,"IL",385098,,,,"IL"
18,"14",1970,"IN",107046,,,,"IN"
18,"65+",1970,"IN",491771,,,,"IN"
18,"22",1970,"IN",87095,,,,"IN"
18,"3-4",1970,"IN",186037,,,,"IN"
18,"21",1970,"IN",83938,,,,"IN"
18,"30-34",1970,"IN",293810,,,,"IN"
18,"17",1970,"IN",100849,,,,"IN"
18,"35-44",1970,"IN",582781,,,,"IN"
18,"62-64F",1970,"IN",63104,,,,"IN"
18,"62-64M",1970,"IN",55871,,,,"IN"
18,"5-13",1970,"IN",968734,,,,"IN"
18,"45-54",1970,"IN",579315,,,,"IN"
18,"55-59",1970,"IN",244140,,,,"IN"
18,"16",1970,"IN",102749,,,,"IN"
18,"20",1970,"IN",88936,,,,"IN"
18,"0-2",1970,"IN",269901,,,,"IN"
18,"23",1970,"IN",87572,,,,"IN"
18,"25-29",1970,"IN",346130,,,,"IN"
18,"19",1970,"IN",92023,,,,"IN"
18,"24",1970,"IN",67578,,,,"IN"
18,"15",1970,"IN",106373,,,,"IN"
18,"18",1970,"IN",100858,,,,"IN"
18,"60-61",1970,"IN",88781,,,,"IN"
20,"35-44",1970,"KS",244199,,,,"KS"
20,"60-61",1970,"KS",42355,,,,"KS"
20,"65+",1970,"KS",265329,,,,"KS"
20,"5-13",1970,"KS",395524,,,,"KS"
20,"15",1970,"KS",45407,,,,"KS"
20,"18",1970,"KS",43928,,,,"KS"
20,"3-4",1970,"KS",70666,,,,"KS"
20,"25-29",1970,"KS",139268,,,,"KS"
20,"22",1970,"KS",39559,,,,"KS"
20,"30-34",1970,"KS",118453,,,,"KS"
20,"62-64M",1970,"KS",27702,,,,"KS"
20,"45-54",1970,"KS",247621,,,,"KS"
20,"23",1970,"KS",37450,,,,"KS"
20,"20",1970,"KS",41986,,,,"KS"
20,"24",1970,"KS",28347,,,,"KS"
20,"21",1970,"KS",41311,,,,"KS"
20,"19",1970,"KS",42009,,,,"KS"
20,"62-64F",1970,"KS",31452,,,,"KS"
20,"16",1970,"KS",43586,,,,"KS"
20,"17",1970,"KS",42651,,,,"KS"
20,"0-2",1970,"KS",104648,,,,"KS"
20,"55-59",1970,"KS",110387,,,,"KS"
20,"14",1970,"KS",45233,,,,"KS"
21,"35-44",1970,"KY",350722,,,,"KY"
21,"0-2",1970,"KY",160331,,,,"KY"
21,"62-64M",1970,"KY",37669,,,,"KY"
21,"23",1970,"KY",53956,,,,"KY"
21,"20",1970,"KY",59647,,,,"KY"
21,"22",1970,"KY",55274,,,,"KY"
21,"18",1970,"KY",62956,,,,"KY"
21,"19",1970,"KY",63628,,,,"KY"
21,"24",1970,"KY",41436,,,,"KY"
21,"14",1970,"KY",66407,,,,"KY"
21,"3-4",1970,"KY",111016,,,,"KY"
21,"17",1970,"KY",63132,,,,"KY"
21,"55-59",1970,"KY",155823,,,,"KY"
21,"62-64F",1970,"KY",43156,,,,"KY"
21,"65+",1970,"KY",336071,,,,"KY"
21,"25-29",1970,"KY",204388,,,,"KY"
21,"5-13",1970,"KY",585065,,,,"KY"
21,"15",1970,"KY",65928,,,,"KY"
21,"16",1970,"KY",63555,,,,"KY"
21,"21",1970,"KY",55248,,,,"KY"
21,"30-34",1970,"KY",176966,,,,"KY"
21,"60-61",1970,"KY",58831,,,,"KY"
21,"45-54",1970,"KY",349506,,,,"KY"
22,"16",1970,"LA",76223,,,,"LA"
22,"18",1970,"LA",73986,,,,"LA"
22,"21",1970,"LA",61013,,,,"LA"
22,"5-13",1970,"LA",727812,,,,"LA"
22,"60-61",1970,"LA",60281,,,,"LA"
22,"15",1970,"LA",80951,,,,"LA"
22,"62-64F",1970,"LA",44224,,,,"LA"
22,"17",1970,"LA",74453,,,,"LA"
22,"20",1970,"LA",68481,,,,"LA"
22,"0-2",1970,"LA",206358,,,,"LA"
22,"30-34",1970,"LA",199202,,,,"LA"
22,"19",1970,"LA",71040,,,,"LA"
22,"35-44",1970,"LA",393960,,,,"LA"
22,"62-64M",1970,"LA",37765,,,,"LA"
22,"65+",1970,"LA",305002,,,,"LA"
22,"14",1970,"LA",81217,,,,"LA"
22,"3-4",1970,"LA",142251,,,,"LA"
22,"24",1970,"LA",47246,,,,"LA"
22,"23",1970,"LA",61333,,,,"LA"
22,"55-59",1970,"LA",161661,,,,"LA"
22,"25-29",1970,"LA",234118,,,,"LA"
22,"45-54",1970,"LA",373499,,,,"LA"
22,"22",1970,"LA",62561,,,,"LA"
25,"15",1970,"MA",105707,,,,"MA"
25,"62-64M",1970,"MA",63947,,,,"MA"
25,"16",1970,"MA",101844,,,,"MA"
25,"18",1970,"MA",104992,,,,"MA"
25,"14",1970,"MA",108712,,,,"MA"
25,"3-4",1970,"MA",195661,,,,"MA"
25,"22",1970,"MA",97582,,,,"MA"
25,"45-54",1970,"MA",669132,,,,"MA"
25,"23",1970,"MA",98159,,,,"MA"
25,"5-13",1970,"MA",989671,,,,"MA"
25,"60-61",1970,"MA",108632,,,,"MA"
25,"35-44",1970,"MA",628026,,,,"MA"
25,"30-34",1970,"MA",295410,,,,"MA"
25,"21",1970,"MA",94671,,,,"MA"
25,"25-29",1970,"MA",371808,,,,"MA"
25,"55-59",1970,"MA",290279,,,,"MA"
25,"62-64F",1970,"MA",80354,,,,"MA"
25,"24",1970,"MA",75384,,,,"MA"
25,"65+",1970,"MA",633383,,,,"MA"
25,"20",1970,"MA",98863,,,,"MA"
25,"19",1970,"MA",101736,,,,"MA"
25,"0-2",1970,"MA",274658,,,,"MA"
25,"17",1970,"MA",100559,,,,"MA"
24,"62-64M",1970,"MD",38229,,,,"MD"
24,"16",1970,"MD",73623,,,,"MD"
24,"55-59",1970,"MD",178582,,,,"MD"
24,"30-34",1970,"MD",238222,,,,"MD"
24,"24",1970,"MD",55413,,,,"MD"
24,"35-44",1970,"MD",472245,,,,"MD"
